Status,class,category,fdc_id,data_type,description
,,,1103194,survey_fndds_food,"Carrots, raw, salad"
,,,1103195,survey_fndds_food,"Carrots, raw, salad with apples"
,,,1102657,survey_fndds_food,"Cassaba melon, raw"
,,,169985,sr_legacy_food,"Cassava, raw"
,,,169389,sr_legacy_food,"Cauliflower, green, raw"
,,,1103345,survey_fndds_food,"Cauliflower, raw"
,,,169986,sr_legacy_food,"Cauliflower, raw"
,,,170400,sr_legacy_food,"Celeriac, raw"
,,,1103346,survey_fndds_food,"Celery, raw"
,,,169988,sr_legacy_food,"Celery, raw"
,,,169990,sr_legacy_food,"Celtuce, raw"
,,,1103086,survey_fndds_food,"Chard, raw"
,,,169991,sr_legacy_food,"Chard, swiss, raw"
,,,170402,sr_legacy_food,"Chayote, fruit, raw"
,,,747429,foundation_food,"Cheese, American, restaurant"
,,,328637,foundation_food,"Cheese, cheddar"
,,,328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat"
,,,746765,foundation_food,"Cheese, dry white, queso seco"
,,,329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim"
,,,325036,foundation_food,"Cheese, parmesan, grated"
,,,325198,foundation_food,"Cheese, pasteurized process, American, vitamin D fortified"
,,,746766,foundation_food,"Cheese, ricotta, whole milk"
,,,326135,foundation_food,"Cheese, swiss"
,,,173953,sr_legacy_food,"Cherimoya, raw"
,,,1102660,survey_fndds_food,"Cherries, raw"
,,,173954,sr_legacy_food,"Cherries, sour, red, raw"
,,,171719,sr_legacy_food,"Cherries, sweet, raw"
,,,173756,sr_legacy_food,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
,,,169992,sr_legacy_food,"Chicory greens, raw"
,,,169993,sr_legacy_food,"Chicory roots, raw"
,,,170404,sr_legacy_food,"Chicory, witloof, raw"
,,,1103349,survey_fndds_food,"Chives, raw"
,,,169994,sr_legacy_food,"Chives, raw"
,,,168491,sr_legacy_food,"Chrysanthemum leaves, raw"
,,,169995,sr_legacy_food,"Chrysanthemum, garland, raw"
,,,1103350,survey_fndds_food,"Cilantro, raw"
,,,1102590,survey_fndds_food,"Clementine, raw"
,,,168195,sr_legacy_food,"Clementines, raw"
,,,1103088,survey_fndds_food,"Collards, raw"
,,,170406,sr_legacy_food,"Collards, raw"
,,,169997,sr_legacy_food,"Coriander (cilantro) leaves, raw"
,,,1103351,survey_fndds_food,"Corn, raw"
,,,168538,sr_legacy_food,"Corn, sweet, white, raw"
,,,169998,sr_legacy_food,"Corn, sweet, yellow, raw"
,,,169219,sr_legacy_food,"Cornsalad, raw"
,,,169220,sr_legacy_food,"Cowpeas (blackeyes), immature seeds, raw"
,,,175208,sr_legacy_food,"Cowpeas, catjang, mature seeds, raw"
,,,173758,sr_legacy_food,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw"
,,,169224,sr_legacy_food,"Cowpeas, leafy tips, raw"
,,,168405,sr_legacy_food,"Cowpeas, young pods with seeds, raw"
,,,171721,sr_legacy_food,"Crabapples, raw"
,,,1102706,survey_fndds_food,"Cranberries, raw"
,,,171722,sr_legacy_food,"Cranberries, raw"
,,,2003594,foundation_food,"Cranberry juice, not fortified, from concentrate, shelf stable"
,,,168407,sr_legacy_food,"Cress, garden, raw"
,,,1103102,survey_fndds_food,"Cress, raw"
,,,169225,sr_legacy_food,"Cucumber, peeled, raw"
,,,1103352,survey_fndds_food,"Cucumber, raw"
,,,168409,sr_legacy_food,"Cucumber, with peel, raw"
,,,173963,sr_legacy_food,"Currants, european black, raw"
,,,173964,sr_legacy_food,"Currants, red and white, raw"
,,,171725,sr_legacy_food,"Custard-apple, (bullock's-heart), raw"
,,,1103104,survey_fndds_food,"Dandelion greens, raw"
,,,169226,sr_legacy_food,"Dandelion greens, raw"
,,,170076,sr_legacy_food,"Dock, raw"
,,,168416,sr_legacy_food,"Drumstick leaves, raw"
,,,170483,sr_legacy_food,"Drumstick pods, raw"
,,,168192,sr_legacy_food,"Durian, raw or frozen"
,,,172189,sr_legacy_food,"Egg, duck, whole, fresh, raw"
,,,172190,sr_legacy_food,"Egg, goose, whole, fresh, raw"
,,,172191,sr_legacy_food,"Egg, quail, whole, fresh, raw"
